"","Mean","SE","Day_Treatment","Day","Plate.ID","Reading.Date.Time","Mean.RFU..Chl.a70.460.685.","Std.Dev.RFU..Chl.a70.460.685.","CV.RFU..Chl.a70.460.685.","Mean.RFU..Chl.a100.460.685.","Std.Dev.RFU..Chl.a100.460.685.","CV.RFU..Chl.a100.460.685.","Treatment"
"128",498.666666666667,41.8343293374127,"12_19",12,"Day12-Plate5 Algae-Bacteria Growth Experiment","3/28/2018 13:48",580,219.525,37.849,563,219.369,38.972,"19"
"129",506.2,30.1519485274169,"12_2",12,"Day12-Plate1 Algae-Bacteria Growth Experiment","3/28/2018 13:08",463,148.814,32.149,377,109.924,29.175,"2"
"130",506.2,30.1519485274169,"12_2",12,"Day12-Plate2 Algae-Bacteria Growth Experiment","3/28/2018 13:17",431,206.943,48.027,398,180.611,45.405,"2"
"131",506.2,30.1519485274169,"12_2",12,"Day12-Plate3 Algae-Bacteria Growth Experiment","3/28/2018 13:28",540,285.149,52.805,508,267.275,52.579,"2"
"132",506.2,30.1519485274169,"12_2",12,"Day12-Plate4 Algae-Bacteria Growth Experiment","3/28/2018 13:38",494,208.591,42.234,503,211.788,42.133,"2"
"133",506.2,30.1519485274169,"12_2",12,"Day12-Plate5 Algae-Bacteria Growth Experiment","3/28/2018 13:48",603,223.372,37.064,577,205.222,35.56,"2"
"134",654.666666666667,20.8513255640446,"12_20",12,"Day12-Plate1 Algae-Bacteria Growth Experiment","3/28/2018 13:08",617,220.773,35.782,478,162.893,34.07,"20"
"135",654.666666666667,20.8513255640446,"12_20",12,"Day12-Plate3 Algae-Bacteria Growth Experiment","3/28/2018 13:28",658,259.246,39.399,645,256.913,39.804,"20"
"136",654.666666666667,20.8513255640446,"12_20",12,"Day12-Plate5 Algae-Bacteria Growth Experiment","3/28/2018 13:48",689,292.891,42.53,661,277.703,42.013,"20"
"137",631,44.5009363197375,"12_23",12,"Day12-Plate2 Algae-Bacteria Growth Experiment","3/28/2018 13:17",542,193.158,35.616,477,172.962,36.244,"23"
"138",631,44.5009363197375,"12_23",12,"Day12-Plate3 Algae-Bacteria Growth Experiment","3/28/2018 13:28",676,270.586,40.008,642,247.284,38.531,"23"
"139",631,44.5009363197375,"12_23",12,"Day12-Plate5 Algae-Bacteria Growth Experiment","3/28/2018 13:48",675,242.971,36.013,656,259.237,39.525,"23"
"140",498,21.221058723196,"12_24",12,"Day12-Plate1 Algae-Bacteria Growth Experiment","3/28/2018 13:08",457,190.325,41.687,343,134.336,39.165,"24"
"141",498,21.221058723196,"12_24",12,"Day12-Plate2 Algae-Bacteria Growth Experiment","3/28/2018 13:17",509,196.401,38.586,443,176.708,39.889,"24"
"142",498,21.221058723196,"12_24",12,"Day12-Plate4 Algae-Bacteria Growth Experiment","3/28/2018 13:38",528,239.057,45.238,521,229.294,43.973,"24"
